subId,trial,block,randomized,bird_position,bag_position,bucket_position,completed,stayed,time_elapsed
sample_subId,46,2,0,61.36,62.204,60,1,0,681739
sample_subId,47,2,0,60.668,58.337,62,1,0,687187
sample_subId,48,2,0,58.326,58.398,60,1,0,692274
sample_subId,49,2,0,56.954,62.933,62,1,0,697646
sample_subId,50,2,0,58.807,57.108,64,1,0,702424
sample_subId,1,3,2,60.0,48.147,50,1,1,709639
sample_subId,2,3,2,58.702,54.238,48,1,0,715134
sample_subId,3,3,2,61.064,60.837,58,1,0,719817
sample_subId,4,3,2,59.547,47.737,62,1,0,724484
sample_subId,5,3,2,57.328,59.399,54,1,0,729169
sample_subId,6,3,2,55.637,39.488,58,1,0,733757
sample_subId,7,3,2,54.492,56.09,60,1,0,739406
sample_subId,8,3,2,53.374,56.781,58,1,0,744217
sample_subId,9,3,2,53.731,43.571,60,1,0,750050
sample_subId,10,3,2,53.337,49.456,60,1,0,755215
sample_subId,11,3,2,54.51,59.265,56,1,0,760024
sample_subId,12,3,2,52.807,50.595,62,1,0,765285
sample_subId,13,3,2,54.407,39.547,60,1,0,770228
sample_subId,14,3,2,51.388,51.714,64,1,0,775001
sample_subId,15,3,2,53.14,55.404,60,1,0,780008
sample_subId,16,3,2,52.655,53.163,52,1,0,784766
sample_subId,17,3,2,52.988,56.456,46,1,0,790114
sample_subId,18,3,2,49.057,52.44,48,1,0,795305
sample_subId,19,3,2,46.517,56.913,46,1,0,801133
sample_subId,20,3,2,48.868,40.469,46,1,0,806731
sample_subId,21,3,2,52.926,38.635,62,1,0,811339
sample_subId,22,3,2,52.376,58.904,58,1,0,816050
sample_subId,23,3,2,53.583,50.957,60,1,0,821739
sample_subId,24,3,2,57.145,47.429,56,1,0,826419
sample_subId,25,3,2,60.693,69.587,58,1,0,831503
sample_subId,26,3,2,56.962,52.902,70,1,0,836223
sample_subId,27,3,2,54.86,62.05,40,1,0,840941
sample_subId,28,3,2,54.025,57.043,40,1,1,844956
sample_subId,29,3,2,56.83,68.449,42,1,0,849561
sample_subId,30,3,2,54.094,57.67,54,1,0,854126
sample_subId,31,3,2,53.509,58.676,54,1,0,858936
sample_subId,32,3,2,56.051,51.061,54,1,0,863967
sample_subId,33,3,2,56.183,51.421,52,1,0,869013
sample_subId,34,3,2,57.085,69.976,44,1,0,873650
sample_subId,35,3,2,56.441,53.649,70,1,0,878333
sample_subId,36,3,2,58.018,59.331,52,1,0,882983
sample_subId,37,3,2,59.875,46.783,56,1,0,888358
sample_subId,38,3,2,58.894,63.545,48,1,0,892998
sample_subId,39,3,2,62.488,61.457,66,1,0,897598
sample_subId,40,3,2,63.67,67.132,52,1,0,902316
sample_subId,41,3,2,62.398,60.437,52,1,0,907232
sample_subId,42,3,2,63.605,54.921,54,1,0,911814
sample_subId,43,3,2,62.534,75.981,52,1,0,917330
sample_subId,44,3,2,62.224,63.635,74,1,0,922206
sample_subId,45,3,2,63.448,46.877,62,1,0,926838
sample_subId,46,3,2,61.36,63.048,42,1,0,931442
sample_subId,47,3,2,60.668,56.006,62,1,0,936484
sample_subId,48,3,2,58.326,58.471,56,1,0,941934
sample_subId,49,3,2,56.954,68.913,58,1,0,946715
sample_subId,50,3,2,58.807,55.408,68,1,0,951322
sample_subId,1,4,1,60.0,54.073,50,1,1,958445
sample_subId,2,4,1,55.457,53.225,52,1,0,963234
sample_subId,3,4,1,63.725,63.611,54,1,0,968684
sample_subId,4,4,1,58.416,52.511,60,1,0,973379
sample_subId,5,4,1,50.649,51.684,54,1,0,977947
sample_subId,6,4,1,44.73,36.655,52,1,0,982637
sample_subId,7,4,1,40.721,41.52,42,1,0,987316
sample_subId,8,4,1,36.81,38.514,40,1,0,992390
sample_subId,9,4,1,38.059,32.979,42,1,0,997667
sample_subId,10,4,1,36.681,34.74,36,1,0,1002316
sample_subId,11,4,1,40.786,43.163,36,1,0,1007202
